experiment,feature_count,removed_features,pr_auc,pr_auc_difference,precision,recall,f1_score,f1_difference,fp,fp_difference,fn,fn_difference,best_threshold,tree_count,elapsed_seconds
Baseline_11개,11,없음,0.9786722195442189,0.0,0.9660219550444328,0.9319213313161876,0.9486652977412731,0.0,65,0,135,0,0.9537728010892091,1756,121.96100068092346
prior_median_제외_10개,10,prior_normal_median_amt,0.9774238462213601,-0.0012483733228587646,0.9622245540398741,0.9248613212304589,0.9431730521985087,-0.005492245542764396,72,7,149,14,0.9740762783851038,1756,89.8226990699768
age_제외_10개,10,age,0.9677991411034617,-0.010873078440757245,0.9353155972874283,0.9041855774079677,0.9194871794871795,-0.029178118254093555,124,59,190,55,0.9646699007714287,1756,93.66116189956665
age_prior_median_제외_9개,9,"age, prior_normal_median_amt",0.9618403482917706,-0.016831871252448338,0.9249343832020998,0.8885526979324256,0.9063786008230452,-0.04228669691822784,143,78,221,86,0.983009985568851,1756,85.7966856956482
