experiment,feature_count,removed_features,pr_auc,pr_auc_difference,precision,recall,f1_score,f1_difference,fp,fn,best_threshold,best_iteration,elapsed_seconds
prior_median_제외_10개,10,prior_normal_median_amt,0.4779268873912031,0.009199933569079444,0.5743119266055046,0.6313666162380231,0.6014893105933221,0.0,928,731,0.5199298977142646,1,10.999776840209961
age_prior_median_제외_9개,9,"age, prior_normal_median_amt",0.4778186652658127,0.009091711443689032,0.5743119266055046,0.6313666162380231,0.6014893105933221,0.0,928,731,0.5199298977142646,1,9.591023921966553
Baseline_11개,11,없음,0.46872695382212365,0.0,0.5743119266055046,0.6313666162380231,0.6014893105933221,0.0,928,731,0.5199298977142646,1,11.78224515914917
age_제외_10개,10,age,0.2808724923347711,-0.18785446148735258,0.2797774300121718,0.8113968734241049,0.4160848202741143,-0.1854044903192078,4142,374,0.49648308405159924,1,10.600918292999268
